"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;9.92071024406772e+29;40;4;"create_sampling_random"
"FR_Arto";1990;12407252200484768;40;4;"create_sampling_random"
"FR_Bret";1990;9384043.59939231;40;4;"create_sampling_random"
"FR_Garo";1990;11634914.6703917;40;4;"create_sampling_random"
"FR_Loir";1990;24838056.1472698;40;4;"create_sampling_random"
"FR_Rhon";1990;6294325.30656226;40;4;"create_sampling_random"
"FR_Sein";1990;19127842.150747;40;4;"create_sampling_random"
"FR_Adou";1991;1.69722602905964e+30;40;4;"create_sampling_random"
"FR_Arto";1991;12239610123148368;40;4;"create_sampling_random"
"FR_Bret";1991;8653866.86609953;40;4;"create_sampling_random"
"FR_Garo";1991;10266611.1566834;40;4;"create_sampling_random"
"FR_Loir";1991;19201169.0813056;40;4;"create_sampling_random"
"FR_Rhon";1991;5935252.45743455;40;4;"create_sampling_random"
"FR_Sein";1991;15075547.0564834;40;4;"create_sampling_random"
"FR_Adou";1992;2.870788917889e+30;40;4;"create_sampling_random"
"FR_Arto";1992;12008002314205960;40;4;"create_sampling_random"
"FR_Bret";1992;8140525.61595276;40;4;"create_sampling_random"
"FR_Garo";1992;9066345.6092965;40;4;"create_sampling_random"
"FR_Loir";1992;14868284.6763896;40;4;"create_sampling_random"
"FR_Rhon";1992;5596265.71944176;40;4;"create_sampling_random"
"FR_Sein";1992;11932761.1698129;40;4;"create_sampling_random"
"FR_Adou";1993;4.74725198751184e+30;40;4;"create_sampling_random"
"FR_Arto";1993;11675487383663960;40;4;"create_sampling_random"
"FR_Bret";1993;7991550.12987901;40;4;"create_sampling_random"
"FR_Garo";1993;8023461.5202743;40;4;"create_sampling_random"
"FR_Loir";1993;11567280.3450798;40;4;"create_sampling_random"
"FR_Rhon";1993;5282464.68999258;40;4;"create_sampling_random"
"FR_Sein";1993;9542536.41855939;40;4;"create_sampling_random"
"FR_Adou";1994;7.62085647826e+30;40;4;"create_sampling_random"
"FR_Arto";1994;11265068008817804;40;4;"create_sampling_random"
"FR_Bret";1994;8335774.64851983;40;4;"create_sampling_random"
"FR_Garo";1994;7129189.60976426;40;4;"create_sampling_random"
"FR_Loir";1994;9083334.48689969;40;4;"create_sampling_random"
"FR_Rhon";1994;5005074.04254668;40;4;"create_sampling_random"
"FR_Sein";1994;7763652.46375411;40;4;"create_sampling_random"
"FR_Adou";1995;1.18554783373089e+31;40;4;"create_sampling_random"
"FR_Arto";1995;10853117117280430;40;4;"create_sampling_random"
"FR_Bret";1995;9288821.6527086;40;4;"create_sampling_random"
"FR_Garo";1995;6375163.57975705;40;4;"create_sampling_random"
"FR_Loir";1995;7243412.05347193;40;4;"create_sampling_random"
"FR_Rhon";1995;4780226.18296669;40;4;"create_sampling_random"
"FR_Sein";1995;6470407.388838;40;4;"create_sampling_random"
"FR_Adou";1996;1.78832730346005e+31;40;4;"create_sampling_random"
"FR_Arto";1996;10527939413338426;40;4;"create_sampling_random"
"FR_Bret";1996;10941326.5948366;40;4;"create_sampling_random"
"FR_Garo";1996;5752732.90802292;40;4;"create_sampling_random"
"FR_Loir";1996;5907674.7476985;40;4;"create_sampling_random"
"FR_Rhon";1996;4626030.11963057;40;4;"create_sampling_random"
"FR_Sein";1996;5556745.81810833;40;4;"create_sampling_random"
"FR_Adou";1997;2.61208574140967e+31;40;4;"create_sampling_random"
"FR_Arto";1997;10348798882121404;40;4;"create_sampling_random"
"FR_Bret";1997;13276342.9156703;40;4;"create_sampling_random"
