"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;2.47236585855375e+47;20;9;"create_sampling_random"
"FR_Arto";1990;675939.491512376;20;9;"create_sampling_random"
"FR_Bret";1990;16586055.5051303;20;9;"create_sampling_random"
"FR_Garo";1990;12427190.0987622;20;9;"create_sampling_random"
"FR_Loir";1990;15771540.8483717;20;9;"create_sampling_random"
"FR_Rhon";1990;6899239.19473954;20;9;"create_sampling_random"
"FR_Sein";1990;21602460.6154802;20;9;"create_sampling_random"
"FR_Adou";1991;3.24767394837748e+47;20;9;"create_sampling_random"
"FR_Arto";1991;708924.27570549;20;9;"create_sampling_random"
"FR_Bret";1991;13543300.1572505;20;9;"create_sampling_random"
"FR_Garo";1991;11440300.0646575;20;9;"create_sampling_random"
"FR_Loir";1991;13511791.6890631;20;9;"create_sampling_random"
"FR_Rhon";1991;6616864.10148634;20;9;"create_sampling_random"
"FR_Sein";1991;16996437.5053159;20;9;"create_sampling_random"
"FR_Adou";1992;4.3919401479882e+47;20;9;"create_sampling_random"
"FR_Arto";1992;727025.723683699;20;9;"create_sampling_random"
"FR_Bret";1992;11361857.05759;20;9;"create_sampling_random"
"FR_Garo";1992;10543997.0481961;20;9;"create_sampling_random"
"FR_Loir";1992;11600543.4126311;20;9;"create_sampling_random"
"FR_Rhon";1992;6344665.56422937;20;9;"create_sampling_random"
"FR_Sein";1992;13455906.3735367;20;9;"create_sampling_random"
"FR_Adou";1993;6.27092591616669e+47;20;9;"create_sampling_random"
"FR_Arto";1993;730518.851756022;20;9;"create_sampling_random"
"FR_Bret";1993;10107335.6064695;20;9;"create_sampling_random"
"FR_Garo";1993;9745148.71989932;20;9;"create_sampling_random"
"FR_Loir";1993;10005792.399871;20;9;"create_sampling_random"
"FR_Rhon";1993;6082298.93902532;20;9;"create_sampling_random"
"FR_Sein";1993;10807978.9430098;20;9;"create_sampling_random"
"FR_Adou";1994;9.52405511314811e+47;20;9;"create_sampling_random"
"FR_Arto";1994;721756.473568575;20;9;"create_sampling_random"
"FR_Bret";1994;9788094.85868087;20;9;"create_sampling_random"
"FR_Garo";1994;9049206.32608138;20;9;"create_sampling_random"
"FR_Loir";1994;8689271.68786232;20;9;"create_sampling_random"
"FR_Rhon";1994;5829431.90014729;20;9;"create_sampling_random"
"FR_Sein";1994;8885420.53857767;20;9;"create_sampling_random"
"FR_Adou";1995;1.51488929471981e+48;20;9;"create_sampling_random"
