"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;924907.512347891;20;61;"create_sampling_random"
"FR_Arto";1990;4633509521391950;20;61;"create_sampling_random"
"FR_Bret";1990;9737327.25366342;20;61;"create_sampling_random"
"FR_Garo";1990;17900703.0578379;20;61;"create_sampling_random"
"FR_Loir";1990;11933078.2873753;20;61;"create_sampling_random"
"FR_Rhon";1990;7961558.53866895;20;61;"create_sampling_random"
"FR_Sein";1990;28443722.3099362;20;61;"create_sampling_random"
"FR_Adou";1991;1201283.99347894;20;61;"create_sampling_random"
"FR_Arto";1991;4923256565426549;20;61;"create_sampling_random"
"FR_Bret";1991;10158301.012444;20;61;"create_sampling_random"
"FR_Garo";1991;15307686.3349691;20;61;"create_sampling_random"
"FR_Loir";1991;10611277.8524116;20;61;"create_sampling_random"
"FR_Rhon";1991;7723122.47491852;20;61;"create_sampling_random"
"FR_Sein";1991;25329177.443556;20;61;"create_sampling_random"
"FR_Adou";1992;1552365.07848904;20;61;"create_sampling_random"
"FR_Arto";1992;5314292674920146;20;61;"create_sampling_random"
"FR_Bret";1992;10624595.6150177;20;61;"create_sampling_random"
"FR_Garo";1992;13098011.8073584;20;61;"create_sampling_random"
"FR_Loir";1992;9450476.44099246;20;61;"create_sampling_random"
"FR_Rhon";1992;7491465.87044956;20;61;"create_sampling_random"
"FR_Sein";1992;22439397.8924508;20;61;"create_sampling_random"
"FR_Adou";1993;1992823.57169468;20;61;"create_sampling_random"
"FR_Arto";1993;5904313853853492;20;61;"create_sampling_random"
"FR_Bret";1993;11175294.0587441;20;61;"create_sampling_random"
"FR_Garo";1993;11228562.6223978;20;61;"create_sampling_random"
"FR_Loir";1993;8447919.81172975;20;61;"create_sampling_random"
"FR_Rhon";1993;7266111.4428961;20;61;"create_sampling_random"
"FR_Sein";1993;19680995.7594015;20;61;"create_sampling_random"
"FR_Adou";1994;2532856.56563511;20;61;"create_sampling_random"
"FR_Arto";1994;6773109998844218;20;61;"create_sampling_random"
"FR_Bret";1994;11844096.3194992;20;61;"create_sampling_random"
"FR_Garo";1994;9664733.20646064;20;61;"create_sampling_random"
"FR_Loir";1994;7598893.92066979;20;61;"create_sampling_random"
"FR_Rhon";1994;7046638.15165758;20;61;"create_sampling_random"
"FR_Sein";1994;17031383.6604131;20;61;"create_sampling_random"
"FR_Adou";1995;3169342.31842928;20;61;"create_sampling_random"
"FR_Arto";1995;7952713060082336;20;61;"create_sampling_random"
"FR_Bret";1995;12643253.3152357;20;61;"create_sampling_random"
"FR_Garo";1995;8376727.68590058;20;61;"create_sampling_random"
"FR_Loir";1995;6894738.23556383;20;61;"create_sampling_random"
"FR_Rhon";1995;6832768.54295985;20;61;"create_sampling_random"
"FR_Sein";1995;14539275.9963901;20;61;"create_sampling_random"
"FR_Adou";1996;3874561.10516224;20;61;"create_sampling_random"
"FR_Arto";1996;9401934975741042;20;61;"create_sampling_random"
"FR_Bret";1996;13549023.4670191;20;61;"create_sampling_random"
"FR_Garo";1996;7337278.13167717;20;61;"create_sampling_random"
"FR_Loir";1996;6323398.84696089;20;61;"create_sampling_random"
"FR_Rhon";1996;6624407.999513;20;61;"create_sampling_random"
"FR_Sein";1996;12291383.3103143;20;61;"create_sampling_random"
"FR_Adou";1997;4589342.06734672;20;61;"create_sampling_random"
"FR_Arto";1997;10993932017829830;20;61;"create_sampling_random"
"FR_Bret";1997;14490651.502925;20;61;"create_sampling_random"
"FR_Garo";1997;6520794.44804948;20;61;"create_sampling_random"
"FR_Loir";1997;5871105.39354049;20;61;"create_sampling_random"
"FR_Rhon";1997;6421629.53034076;20;61;"create_sampling_random"
"FR_Sein";1997;10369726.7043615;20;61;"create_sampling_random"
"FR_Adou";1998;5228785.22160388;20;61;"create_sampling_random"
"FR_Arto";1998;12531514873596032;20;61;"create_sampling_random"
"FR_Bret";1998;15348912.9810721;20;61;"create_sampling_random"
"FR_Garo";1998;5903587.28868771;20;61;"create_sampling_random"
"FR_Loir";1998;5524203.38788556;20;61;"create_sampling_random"
"FR_Rhon";1998;6224616.38710086;20;61;"create_sampling_random"
"FR_Sein";1998;8822386.40109224;20;61;"create_sampling_random"
