"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;1.04908898438224e+46;100;82;"create_sampling_strahler"
"FR_Arto";1990;4282311349492665;100;82;"create_sampling_strahler"
"FR_Bret";1990;22093911.1111789;100;82;"create_sampling_strahler"
"FR_Garo";1990;14462884.2761159;100;82;"create_sampling_strahler"
"FR_Loir";1990;30731021.9861517;100;82;"create_sampling_strahler"
"FR_Rhon";1990;10454927.5421107;100;82;"create_sampling_strahler"
"FR_Sein";1990;17596169.1869763;100;82;"create_sampling_strahler"
"FR_Adou";1991;2.00985379045653e+46;100;82;"create_sampling_strahler"
"FR_Arto";1991;5539992358789502;100;82;"create_sampling_strahler"
"FR_Bret";1991;17658022.236574;100;82;"create_sampling_strahler"
"FR_Garo";1991;14091793.7759429;100;82;"create_sampling_strahler"
"FR_Loir";1991;20795081.5105081;100;82;"create_sampling_strahler"
"FR_Rhon";1991;10221221.0531101;100;82;"create_sampling_strahler"
"FR_Sein";1991;14639837.3543812;100;82;"create_sampling_strahler"
"FR_Adou";1992;3.9279903588486e+46;100;82;"create_sampling_strahler"
"FR_Arto";1992;7064814618430320;100;82;"create_sampling_strahler"
"FR_Bret";1992;14406786.7200402;100;82;"create_sampling_strahler"
"FR_Garo";1992;13620354.36438;100;82;"create_sampling_strahler"
"FR_Loir";1992;14233445.9861185;100;82;"create_sampling_strahler"
"FR_Rhon";1992;9992674.42277537;100;82;"create_sampling_strahler"
"FR_Sein";1992;12187257.6202587;100;82;"create_sampling_strahler"
"FR_Adou";1993;7.8294661425918e+46;100;82;"create_sampling_strahler"
"FR_Arto";1993;8752928521914735;100;82;"create_sampling_strahler"
"FR_Bret";1993;12297239.5659334;100;82;"create_sampling_strahler"
"FR_Garo";1993;12939285.5448401;100;82;"create_sampling_strahler"
"FR_Loir";1993;10004932.8455804;100;82;"create_sampling_strahler"
"FR_Rhon";1993;9769183.27430742;100;82;"create_sampling_strahler"
"FR_Sein";1993;10167435.1040479;100;82;"create_sampling_strahler"
"FR_Adou";1994;1.54117802504231e+47;100;82;"create_sampling_strahler"
"FR_Arto";1994;10424876092370136;100;82;"create_sampling_strahler"
"FR_Bret";1994;11216830.0280206;100;82;"create_sampling_strahler"
"FR_Garo";1994;11991599.0640793;100;82;"create_sampling_strahler"
"FR_Loir";1994;7340768.31383744;100;82;"create_sampling_strahler"
"FR_Rhon";1994;9550646.52986196;100;82;"create_sampling_strahler"
"FR_Sein";1994;8526909.35780476;100;82;"create_sampling_strahler"
"FR_Adou";1995;2.85249508103057e+47;100;82;"create_sampling_strahler"
