"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;1006878.8452617;80;7;"create_sampling_random"
"FR_Arto";1990;5728476702198071;80;7;"create_sampling_random"
"FR_Bret";1990;18538969.7940019;80;7;"create_sampling_random"
"FR_Garo";1990;14550046.5159758;80;7;"create_sampling_random"
"FR_Loir";1990;24476109.4505812;80;7;"create_sampling_random"
"FR_Rhon";1990;45161749619083.9;80;7;"create_sampling_random"
"FR_Sein";1990;25951992.307732;80;7;"create_sampling_random"
"FR_Adou";1991;1190222.04192787;80;7;"create_sampling_random"
"FR_Arto";1991;6814062616968013;80;7;"create_sampling_random"
"FR_Bret";1991;15591300.6773856;80;7;"create_sampling_random"
"FR_Garo";1991;14384928.6143775;80;7;"create_sampling_random"
"FR_Loir";1991;16780231.9137212;80;7;"create_sampling_random"
"FR_Rhon";1991;42727437477105.4;80;7;"create_sampling_random"
"FR_Sein";1991;19168945.6106818;80;7;"create_sampling_random"
"FR_Adou";1992;1414752.13238018;80;7;"create_sampling_random"
"FR_Arto";1992;7956319794294838;80;7;"create_sampling_random"
"FR_Bret";1992;13360422.8092598;80;7;"create_sampling_random"
"FR_Garo";1992;14132213.9162716;80;7;"create_sampling_random"
"FR_Loir";1992;11660854.8584323;80;7;"create_sampling_random"
"FR_Rhon";1992;40434657542167.5;80;7;"create_sampling_random"
"FR_Sein";1992;14218606.691222;80;7;"create_sampling_random"
"FR_Adou";1993;1705509.77284685;80;7;"create_sampling_random"
"FR_Arto";1993;8997499783882754;80;7;"create_sampling_random"
"FR_Bret";1993;11925222.157407;80;7;"create_sampling_random"
"FR_Garo";1993;13692888.2801083;80;7;"create_sampling_random"
"FR_Loir";1993;8358945.33305917;80;7;"create_sampling_random"
"FR_Rhon";1993;38280690338046.3;80;7;"create_sampling_random"
"FR_Sein";1993;10659886.6014819;80;7;"create_sampling_random"
"FR_Adou";1994;2090810.77129121;80;7;"create_sampling_random"
"FR_Arto";1994;9847146222907808;80;7;"create_sampling_random"
"FR_Bret";1994;11293752.1539879;80;7;"create_sampling_random"
"FR_Garo";1994;12998028.0127042;80;7;"create_sampling_random"
"FR_Loir";1994;6292607.65213179;80;7;"create_sampling_random"
"FR_Rhon";1994;36267227018555.2;80;7;"create_sampling_random"
"FR_Sein";1994;8146216.6252702;80;7;"create_sampling_random"
"FR_Adou";1995;2602592.22051011;80;7;"create_sampling_random"
"FR_Arto";1995;10555542093210764;80;7;"create_sampling_random"
"FR_Bret";1995;11439420.3868797;80;7;"create_sampling_random"
"FR_Garo";1995;12046108.8424535;80;7;"create_sampling_random"
"FR_Loir";1995;5044666.79683799;80;7;"create_sampling_random"
"FR_Rhon";1995;34399343510914.5;80;7;"create_sampling_random"
"FR_Sein";1995;6406699.56415544;80;7;"create_sampling_random"
"FR_Adou";1996;3277239.5929166;80;7;"create_sampling_random"
"FR_Arto";1996;11262173005386816;80;7;"create_sampling_random"
"FR_Bret";1996;12320161.8456183;80;7;"create_sampling_random"
"FR_Garo";1996;10909350.3652491;80;7;"create_sampling_random"
"FR_Loir";1996;4338663.41274928;80;7;"create_sampling_random"
"FR_Rhon";1996;32683707577767.6;80;7;"create_sampling_random"
"FR_Sein";1996;5236385.35116222;80;7;"create_sampling_random"
"FR_Adou";1997;4140108.42578219;80;7;"create_sampling_random"
"FR_Arto";1997;12077673627955028;80;7;"create_sampling_random"
"FR_Bret";1997;13837608.9746532;80;7;"create_sampling_random"
"FR_Garo";1997;9707255.38466342;80;7;"create_sampling_random"
"FR_Loir";1997;4002296.01776177;80;7;"create_sampling_random"
