"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;6.25004235691934e+38;100;98;"create_sampling_strahler"
"FR_Arto";1990;4151698037961902;100;98;"create_sampling_strahler"
"FR_Bret";1990;16905424.6355846;100;98;"create_sampling_strahler"
"FR_Garo";1990;8643395.11031297;100;98;"create_sampling_strahler"
"FR_Loir";1990;24983397.0130067;100;98;"create_sampling_strahler"
"FR_Rhon";1990;8699198.18825028;100;98;"create_sampling_strahler"
"FR_Sein";1990;12569392.2188586;100;98;"create_sampling_strahler"
"FR_Adou";1991;1.22419972026083e+39;100;98;"create_sampling_strahler"
"FR_Arto";1991;4739709935145395;100;98;"create_sampling_strahler"
"FR_Bret";1991;14015611.8894966;100;98;"create_sampling_strahler"
"FR_Garo";1991;9230322.3474632;100;98;"create_sampling_strahler"
"FR_Loir";1991;16478668.6594062;100;98;"create_sampling_strahler"
"FR_Rhon";1991;8224964.70117676;100;98;"create_sampling_strahler"
"FR_Sein";1991;11612148.9009769;100;98;"create_sampling_strahler"
"FR_Adou";1992;2.39513204159745e+39;100;98;"create_sampling_strahler"
"FR_Arto";1992;5399533618662039;100;98;"create_sampling_strahler"
"FR_Bret";1992;11910664.3330396;100;98;"create_sampling_strahler"
"FR_Garo";1992;9756659.68667253;100;98;"create_sampling_strahler"
"FR_Loir";1992;11043410.4142292;100;98;"create_sampling_strahler"
"FR_Rhon";1992;7776855.47484303;100;98;"create_sampling_strahler"
"FR_Sein";1992;10655209.9556937;100;98;"create_sampling_strahler"
"FR_Adou";1993;4.65573950769186e+39;100;98;"create_sampling_strahler"
"FR_Arto";1993;6119396848063091;100;98;"create_sampling_strahler"
"FR_Bret";1993;10680431.2843062;100;98;"create_sampling_strahler"
"FR_Garo";1993;10083396.9523568;100;98;"create_sampling_strahler"
"FR_Loir";1993;7672175.39821902;100;98;"create_sampling_strahler"
"FR_Rhon";1993;7356137.36503011;100;98;"create_sampling_strahler"
"FR_Sein";1993;9641839.10604286;100;98;"create_sampling_strahler"
"FR_Adou";1994;8.89050967566423e+39;100;98;"create_sampling_strahler"
"FR_Arto";1994;6870790194086143;100;98;"create_sampling_strahler"
"FR_Bret";1994;10353764.6797368;100;98;"create_sampling_strahler"
"FR_Garo";1994;10078378.3842798;100;98;"create_sampling_strahler"
"FR_Loir";1994;5635463.76648471;100;98;"create_sampling_strahler"
"FR_Rhon";1994;6964036.74562123;100;98;"create_sampling_strahler"
"FR_Sein";1994;8565174.83359355;100;98;"create_sampling_strahler"
"FR_Adou";1995;1.6409747289131e+40;100;98;"create_sampling_strahler"
"FR_Arto";1995;7613375102200434;100;98;"create_sampling_strahler"
"FR_Bret";1995;10964182.7399943;100;98;"create_sampling_strahler"
"FR_Garo";1995;9683962.30026803;100;98;"create_sampling_strahler"
"FR_Loir";1995;4440476.90879549;100;98;"create_sampling_strahler"
"FR_Rhon";1995;6601277.73916412;100;98;"create_sampling_strahler"
"FR_Sein";1995;7476137.64793504;100;98;"create_sampling_strahler"
"FR_Adou";1996;2.87313372620287e+40;100;98;"create_sampling_strahler"
"FR_Arto";1996;8307537090896293;100;98;"create_sampling_strahler"
"FR_Bret";1996;12582945.0680207;100;98;"create_sampling_strahler"
"FR_Garo";1996;8953163.69730348;100;98;"create_sampling_strahler"
"FR_Loir";1996;3778168.63195433;100;98;"create_sampling_strahler"
"FR_Rhon";1996;6267929.45559022;100;98;"create_sampling_strahler"
"FR_Sein";1996;6459577.95824632;100;98;"create_sampling_strahler"
"FR_Adou";1997;4.67926723035848e+40;100;98;"create_sampling_strahler"
"FR_Arto";1997;8921927136166018;100;98;"create_sampling_strahler"
"FR_Bret";1997;15251432.4530965;100;98;"create_sampling_strahler"
"FR_Garo";1997;8028213.37050152;100;98;"create_sampling_strahler"
"FR_Loir";1997;3464342.61255752;100;98;"create_sampling_strahler"
"FR_Rhon";1997;5963475.52584067;100;98;"create_sampling_strahler"
"FR_Sein";1997;5598284.92464473;100;98;"create_sampling_strahler"
"FR_Adou";1998;6.94761998036157e+40;100;98;"create_sampling_strahler"
"FR_Arto";1998;9425110572259700;100;98;"create_sampling_strahler"
"FR_Bret";1998;18778627.1340076;100;98;"create_sampling_strahler"
"FR_Garo";1998;7078463.71102092;100;98;"create_sampling_strahler"
"FR_Loir";1998;3390629.23304454;100;98;"create_sampling_strahler"
"FR_Rhon";1998;5686999.69587949;100;98;"create_sampling_strahler"
"FR_Sein";1998;4948455.0463461;100;98;"create_sampling_strahler"
"FR_Adou";1999;9.21231389689347e+40;100;98;"create_sampling_strahler"
"FR_Arto";1999;9770253261907472;100;98;"create_sampling_strahler"
"FR_Bret";1999;22472400.3609658;100;98;"create_sampling_strahler"
"FR_Garo";1999;6242059.12871109;100;98;"create_sampling_strahler"
"FR_Loir";1999;3489296.46983901;100;98;"create_sampling_strahler"
"FR_Rhon";1999;5437386.12020988;100;98;"create_sampling_strahler"
"FR_Sein";1999;4536453.22129969;100;98;"create_sampling_strahler"
"FR_Adou";2000;1.07020295016392e+41;100;98;"create_sampling_strahler"
"FR_Arto";2000;9899570874439970;100;98;"create_sampling_strahler"
"FR_Bret";2000;25101900.8593243;100;98;"create_sampling_strahler"
"FR_Garo";2000;5601353.5679983;100;98;"create_sampling_strahler"
"FR_Loir";2000;3709820.12467391;100;98;"create_sampling_strahler"
"FR_Rhon";2000;5213459.221568;100;98;"create_sampling_strahler"
"FR_Sein";2000;4370173.40849847;100;98;"create_sampling_strahler"
"FR_Adou";2001;1.07619962274339e+41;100;98;"create_sampling_strahler"
"FR_Arto";2001;9784937332896270;100;98;"create_sampling_strahler"
"FR_Bret";2001;25438692.1681456;100;98;"create_sampling_strahler"
"FR_Garo";2001;5190017.33765696;100;98;"create_sampling_strahler"
"FR_Loir";2001;4005317.30175128;100;98;"create_sampling_strahler"
"FR_Rhon";2001;5014025.40254183;100;98;"create_sampling_strahler"
"FR_Sein";2001;4452488.78379348;100;98;"create_sampling_strahler"
"FR_Adou";2002;9.3952619175937e+40;100;98;"create_sampling_strahler"
"FR_Arto";2002;9480499883641216;100;98;"create_sampling_strahler"
"FR_Bret";2002;23140741.425907;100;98;"create_sampling_strahler"
"FR_Garo";2002;5013060.4453376;100;98;"create_sampling_strahler"
"FR_Loir";2002;4328614.79350169;100;98;"create_sampling_strahler"
"FR_Rhon";2002;4837819.36607586;100;98;"create_sampling_strahler"
"FR_Sein";2002;4787411.84945022;100;98;"create_sampling_strahler"
"FR_Adou";2003;7.29370881202379e+40;100;98;"create_sampling_strahler"
"FR_Arto";2003;9134907264430430;100;98;"create_sampling_strahler"
"FR_Bret";2003;19067212.5962443;100;98;"create_sampling_strahler"
"FR_Garo";2003;5064028.48844906;100;98;"create_sampling_strahler"
"FR_Loir";2003;4637097.14114592;100;98;"create_sampling_strahler"
"FR_Rhon";2003;4683395.97882756;100;98;"create_sampling_strahler"
"FR_Sein";2003;5373998.70828585;100;98;"create_sampling_strahler"
"FR_Adou";2004;5.26693603450113e+40;100;98;"create_sampling_strahler"
"FR_Arto";2004;8944338882157901;100;98;"create_sampling_strahler"
"FR_Bret";2004;14615857.2972266;100;98;"create_sampling_strahler"
"FR_Garo";2004;5333018.25188001;100;98;"create_sampling_strahler"
"FR_Loir";2004;4901959.28387335;100;98;"create_sampling_strahler"
"FR_Rhon";2004;4549035.69875527;100;98;"create_sampling_strahler"
"FR_Sein";2004;6186635.77723722;100;98;"create_sampling_strahler"
"FR_Adou";2005;3.74699439344091e+40;100;98;"create_sampling_strahler"
"FR_Arto";2005;9088294217663964;100;98;"create_sampling_strahler"
"FR_Bret";2005;10834723.8798715;100;98;"create_sampling_strahler"
"FR_Garo";2005;5805641.9651096;100;98;"create_sampling_strahler"
"FR_Loir";2005;5114683.61715396;100;98;"create_sampling_strahler"
"FR_Rhon";2005;4432733.18976149;100;98;"create_sampling_strahler"
"FR_Sein";2005;7147400.08613693;100;98;"create_sampling_strahler"
"FR_Adou";2006;2.77519784328923e+40;100;98;"create_sampling_strahler"
"FR_Arto";2006;9693034647709298;100;98;"create_sampling_strahler"
"FR_Bret";2006;8108130.29495573;100;98;"create_sampling_strahler"
"FR_Garo";2006;6456116.89805556;100;98;"create_sampling_strahler"
"FR_Loir";2006;5285592.47872626;100;98;"create_sampling_strahler"
"FR_Rhon";2006;4332304.65081128;100;98;"create_sampling_strahler"
"FR_Sein";2006;8109290.4888479;100;98;"create_sampling_strahler"
"FR_Adou";2007;2.22294676059546e+40;100;98;"create_sampling_strahler"
"FR_Arto";2007;10821880647936830;100;98;"create_sampling_strahler"
"FR_Bret";2007;6367851.11037034;100;98;"create_sampling_strahler"
"FR_Garo";2007;7239639.32912347;100;98;"create_sampling_strahler"
"FR_Loir";2007;5435132.04861986;100;98;"create_sampling_strahler"
"FR_Rhon";2007;4245588.46530158;100;98;"create_sampling_strahler"
