"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;5.42253411378634e+47;80;35;"create_sampling_strahler"
"FR_Arto";1990;931646607073451;80;35;"create_sampling_strahler"
"FR_Bret";1990;15936618.1388671;80;35;"create_sampling_strahler"
"FR_Garo";1990;11070588.8987688;80;35;"create_sampling_strahler"
"FR_Loir";1990;23047254.2958418;80;35;"create_sampling_strahler"
"FR_Rhon";1990;21135535.586146;80;35;"create_sampling_strahler"
"FR_Sein";1990;21137418.8422501;80;35;"create_sampling_strahler"
"FR_Adou";1991;8.99017392931987e+47;80;35;"create_sampling_strahler"
"FR_Arto";1991;944356252054251;80;35;"create_sampling_strahler"
"FR_Bret";1991;14002045.0562933;80;35;"create_sampling_strahler"
"FR_Garo";1991;10394400.0257138;80;35;"create_sampling_strahler"
"FR_Loir";1991;15593382.8157326;80;35;"create_sampling_strahler"
"FR_Rhon";1991;20299941.0568638;80;35;"create_sampling_strahler"
"FR_Sein";1991;16962152.5403696;80;35;"create_sampling_strahler"
"FR_Adou";1992;1.49698577422342e+48;80;35;"create_sampling_strahler"
"FR_Arto";1992;976615265512163;80;35;"create_sampling_strahler"
"FR_Bret";1992;12521861.0401748;80;35;"create_sampling_strahler"
"FR_Garo";1992;9719661.40538731;80;35;"create_sampling_strahler"
"FR_Loir";1992;10679547.3785679;80;35;"create_sampling_strahler"
"FR_Rhon";1992;19511592.6888317;80;35;"create_sampling_strahler"
"FR_Sein";1992;13626729.8768544;80;35;"create_sampling_strahler"
"FR_Adou";1993;2.5166757925682e+48;80;35;"create_sampling_strahler"
"FR_Arto";1993;1044267522718478;80;35;"create_sampling_strahler"
"FR_Bret";1993;11636505.2980228;80;35;"create_sampling_strahler"
"FR_Garo";1993;9010148.33177837;80;35;"create_sampling_strahler"
"FR_Loir";1993;7523009.55871388;80;35;"create_sampling_strahler"
"FR_Rhon";1993;18769928.6181426;80;35;"create_sampling_strahler"
"FR_Sein";1993;10985644.3896431;80;35;"create_sampling_strahler"
"FR_Adou";1994;4.28939238353991e+48;80;35;"create_sampling_strahler"
"FR_Arto";1994;1150646386554734;80;35;"create_sampling_strahler"
"FR_Bret";1994;11430108.5546336;80;35;"create_sampling_strahler"
"FR_Garo";1994;8251829.8096563;80;35;"create_sampling_strahler"
"FR_Loir";1994;5543032.60267022;80;35;"create_sampling_strahler"
"FR_Rhon";1994;18073821.8638205;80;35;"create_sampling_strahler"
"FR_Sein";1994;8926321.79246172;80;35;"create_sampling_strahler"
"FR_Adou";1995;7.41262722680239e+48;80;35;"create_sampling_strahler"
"FR_Arto";1995;1282962612971454;80;35;"create_sampling_strahler"
"FR_Bret";1995;11947580.0960302;80;35;"create_sampling_strahler"
"FR_Garo";1995;7461310.48087941;80;35;"create_sampling_strahler"
"FR_Loir";1995;4331635.91742524;80;35;"create_sampling_strahler"
"FR_Rhon";1995;17421749.2131385;80;35;"create_sampling_strahler"
"FR_Sein";1995;7358094.23466588;80;35;"create_sampling_strahler"
"FR_Adou";1996;1.2889549802014e+49;80;35;"create_sampling_strahler"
"FR_Arto";1996;1417818762656345;80;35;"create_sampling_strahler"
"FR_Bret";1996;13200092.691836;80;35;"create_sampling_strahler"
"FR_Garo";1996;6679813.45142313;80;35;"create_sampling_strahler"
"FR_Loir";1996;3620975.62791207;80;35;"create_sampling_strahler"
"FR_Rhon";1996;16812665.2513339;80;35;"create_sampling_strahler"
