"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;8.16837071939376e+29;80;50;"create_sampling_strahler"
"FR_Arto";1990;2244493548680780;80;50;"create_sampling_strahler"
"FR_Bret";1990;15094716.1882106;80;50;"create_sampling_strahler"
"FR_Garo";1990;11185219.0848896;80;50;"create_sampling_strahler"
"FR_Loir";1990;22650967.484357;80;50;"create_sampling_strahler"
"FR_Rhon";1990;7340042.85102203;80;50;"create_sampling_strahler"
"FR_Sein";1990;21055503.2288745;80;50;"create_sampling_strahler"
"FR_Adou";1991;1.70179806561308e+30;80;50;"create_sampling_strahler"
"FR_Arto";1991;2966833709653831;80;50;"create_sampling_strahler"
"FR_Bret";1991;13730058.0563413;80;50;"create_sampling_strahler"
"FR_Garo";1991;12148327.052037;80;50;"create_sampling_strahler"
"FR_Loir";1991;16793845.8014315;80;50;"create_sampling_strahler"
"FR_Rhon";1991;6879007.72855493;80;50;"create_sampling_strahler"
"FR_Sein";1991;15329793.966016;80;50;"create_sampling_strahler"
"FR_Adou";1992;3.46544381928385e+30;80;50;"create_sampling_strahler"
"FR_Arto";1992;3892271080336932;80;50;"create_sampling_strahler"
"FR_Bret";1992;12701443.6595755;80;50;"create_sampling_strahler"
"FR_Garo";1992;12909803.1769684;80;50;"create_sampling_strahler"
"FR_Loir";1992;12558963.704173;80;50;"create_sampling_strahler"
"FR_Rhon";1992;6448661.29302903;80;50;"create_sampling_strahler"
"FR_Sein";1992;11268854.3902406;80;50;"create_sampling_strahler"
"FR_Adou";1993;6.78718361312983e+30;80;50;"create_sampling_strahler"
"FR_Arto";1993;5010202394559427;80;50;"create_sampling_strahler"
"FR_Bret";1993;12185020.1712453;80;50;"create_sampling_strahler"
"FR_Garo";1993;13084921.5754247;80;50;"create_sampling_strahler"
"FR_Loir";1993;9581979.59143426;80;50;"create_sampling_strahler"
"FR_Rhon";1993;6049693.9298175;80;50;"create_sampling_strahler"
"FR_Sein";1993;8470442.11994241;80;50;"create_sampling_strahler"
"FR_Adou";1994;1.27796488754105e+31;80;50;"create_sampling_strahler"
"FR_Arto";1994;6234838674415545;80;50;"create_sampling_strahler"
