"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;1289005.82339707;20;72;"create_sampling_strahler"
"FR_Arto";1990;1135775707461460;20;72;"create_sampling_strahler"
"FR_Bret";1990;15269495.7699549;20;72;"create_sampling_strahler"
"FR_Garo";1990;23595103.4515479;20;72;"create_sampling_strahler"
"FR_Loir";1990;10908330.705346;20;72;"create_sampling_strahler"
"FR_Rhon";1990;6381290.12488861;20;72;"create_sampling_strahler"
"FR_Sein";1990;6150447.66587163;20;72;"create_sampling_strahler"
"FR_Adou";1991;1555156.32154134;20;72;"create_sampling_strahler"
"FR_Arto";1991;1107239287333741;20;72;"create_sampling_strahler"
"FR_Bret";1991;13645086.0614407;20;72;"create_sampling_strahler"
"FR_Garo";1991;20518953.3704483;20;72;"create_sampling_strahler"
"FR_Loir";1991;9424485.2607808;20;72;"create_sampling_strahler"
"FR_Rhon";1991;6172421.73692303;20;72;"create_sampling_strahler"
"FR_Sein";1991;6073354.45174685;20;72;"create_sampling_strahler"
"FR_Adou";1992;1835900.79440146;20;72;"create_sampling_strahler"
"FR_Arto";1992;1080293954023767;20;72;"create_sampling_strahler"
"FR_Bret";1992;12389835.5977247;20;72;"create_sampling_strahler"
"FR_Garo";1992;17789830.1934264;20;72;"create_sampling_strahler"
"FR_Loir";1992;8156287.9537086;20;72;"create_sampling_strahler"
"FR_Rhon";1992;5969935.9851558;20;72;"create_sampling_strahler"
"FR_Sein";1992;5997233.74577927;20;72;"create_sampling_strahler"
"FR_Adou";1993;2127376.87154005;20;72;"create_sampling_strahler"
"FR_Arto";1993;1056130884800952;20;72;"create_sampling_strahler"
"FR_Bret";1993;11645493.8147765;20;72;"create_sampling_strahler"
"FR_Garo";1993;15326900.2341707;20;72;"create_sampling_strahler"
"FR_Loir";1993;7088570.23677633;20;72;"create_sampling_strahler"
"FR_Rhon";1993;5773647.94554727;20;72;"create_sampling_strahler"
"FR_Sein";1993;5922195.52640989;20;72;"create_sampling_strahler"
"FR_Adou";1994;2428204.41842695;20;72;"create_sampling_strahler"
"FR_Arto";1994;1036136410710202;20;72;"create_sampling_strahler"
"FR_Bret";1994;11503125.7711103;20;72;"create_sampling_strahler"
"FR_Garo";1994;13093315.2031888;20;72;"create_sampling_strahler"
"FR_Loir";1994;6205896.14939995;20;72;"create_sampling_strahler"
"FR_Rhon";1994;5583378.33492941;20;72;"create_sampling_strahler"
"FR_Sein";1994;5848496.66951916;20;72;"create_sampling_strahler"
"FR_Adou";1995;2734688.62832613;20;72;"create_sampling_strahler"
"FR_Arto";1995;1021742240554770;20;72;"create_sampling_strahler"
"FR_Bret";1995;12008250.4652698;20;72;"create_sampling_strahler"
"FR_Garo";1995;11091697.3670943;20;72;"create_sampling_strahler"
"FR_Loir";1995;5491078.17018894;20;72;"create_sampling_strahler"
"FR_Rhon";1995;5398952.99097679;20;72;"create_sampling_strahler"
"FR_Sein";1995;5776506.73535731;20;72;"create_sampling_strahler"
"FR_Adou";1996;3036237.43739776;20;72;"create_sampling_strahler"
"FR_Arto";1996;1014380815957227;20;72;"create_sampling_strahler"
"FR_Bret";1996;13158648.4066102;20;72;"create_sampling_strahler"
"FR_Garo";1996;9345075.68413789;20;72;"create_sampling_strahler"
"FR_Loir";1996;4925756.82302801;20;72;"create_sampling_strahler"
"FR_Rhon";1996;5220202.42619818;20;72;"create_sampling_strahler"
"FR_Sein";1996;5706619.39332774;20;72;"create_sampling_strahler"
"FR_Adou";1997;3316057.24133419;20;72;"create_sampling_strahler"
"FR_Arto";1997;1015510825533850;20;72;"create_sampling_strahler"
"FR_Bret";1997;14855633.4838267;20;72;"create_sampling_strahler"
"FR_Garo";1997;7875819.94357587;20;72;"create_sampling_strahler"
"FR_Loir";1997;4491621.66189576;20;72;"create_sampling_strahler"
"FR_Rhon";1997;5046961.47484483;20;72;"create_sampling_strahler"
"FR_Sein";1997;5639160.32429078;20;72;"create_sampling_strahler"
"FR_Adou";1998;3556281.8220963;20;72;"create_sampling_strahler"
"FR_Arto";1998;1026674047921434;20;72;"create_sampling_strahler"
"FR_Bret";1998;16815842.5637951;20;72;"create_sampling_strahler"
"FR_Garo";1998;6691909.46006452;20;72;"create_sampling_strahler"
"FR_Loir";1998;4171507.99086125;20;72;"create_sampling_strahler"
"FR_Rhon";1998;4879069.052916;20;72;"create_sampling_strahler"
"FR_Sein";1998;5574338.02806072;20;72;"create_sampling_strahler"
"FR_Adou";1999;3742805.68155148;20;72;"create_sampling_strahler"
"FR_Arto";1999;1049558623539229;20;72;"create_sampling_strahler"
"FR_Bret";1999;18519082.9667026;20;72;"create_sampling_strahler"
"FR_Garo";1999;5783729.77438826;20;72;"create_sampling_strahler"
"FR_Loir";1999;3950057.48413809;20;72;"create_sampling_strahler"
"FR_Rhon";1999;4716368.0263147;20;72;"create_sampling_strahler"
"FR_Sein";1999;5512250.82859511;20;72;"create_sampling_strahler"
