"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;757580.910243499;80;6;"create_sampling_random"
"FR_Arto";1990;2437352877925242;80;6;"create_sampling_random"
"FR_Bret";1990;17969589.2963233;80;6;"create_sampling_random"
"FR_Garo";1990;16378797.490611;80;6;"create_sampling_random"
"FR_Loir";1990;25289778.1724338;80;6;"create_sampling_random"
"FR_Rhon";1990;109756942.913819;80;6;"create_sampling_random"
"FR_Sein";1990;18791615.5902825;80;6;"create_sampling_random"
"FR_Adou";1991;1001612.03061388;80;6;"create_sampling_random"
"FR_Arto";1991;2839249250510293;80;6;"create_sampling_random"
"FR_Bret";1991;15016247.6289405;80;6;"create_sampling_random"
"FR_Garo";1991;14356216.5061177;80;6;"create_sampling_random"
"FR_Loir";1991;17899482.4134426;80;6;"create_sampling_random"
"FR_Rhon";1991;104668790.537793;80;6;"create_sampling_random"
"FR_Sein";1991;16355540.0242654;80;6;"create_sampling_random"
"FR_Adou";1992;1267159.96300044;80;6;"create_sampling_random"
"FR_Arto";1992;3341363818161784;80;6;"create_sampling_random"
"FR_Bret";1992;12815797.6218174;80;6;"create_sampling_random"
"FR_Garo";1992;12586402.748993;80;6;"create_sampling_random"
"FR_Loir";1992;12790570.4508435;80;6;"create_sampling_random"
"FR_Rhon";1992;99815849.5481083;80;6;"create_sampling_random"
"FR_Sein";1992;14130322.615982;80;6;"create_sampling_random"
"FR_Adou";1993;1552296.81082291;80;6;"create_sampling_random"
"FR_Arto";1993;3994236192072430;80;6;"create_sampling_random"
"FR_Bret";1993;11452365.4516969;80;6;"create_sampling_random"
"FR_Garo";1993;11045103.9931812;80;6;"create_sampling_random"
"FR_Loir";1993;9345943.02476491;80;6;"create_sampling_random"
"FR_Rhon";1993;95187501.240305;80;6;"create_sampling_random"
"FR_Sein";1993;12026744.7913324;80;6;"create_sampling_random"
"FR_Adou";1994;1864428.26295498;80;6;"create_sampling_random"
"FR_Arto";1994;4820456104208303;80;6;"create_sampling_random"
"FR_Bret";1994;10943547.8041469;80;6;"create_sampling_random"
"FR_Garo";1994;9715918.9655277;80;6;"create_sampling_random"
"FR_Loir";1994;7079560.40861667;80;6;"create_sampling_random"
"FR_Rhon";1994;90773649.8364792;80;6;"create_sampling_random"
"FR_Sein";1994;10045263.5391417;80;6;"create_sampling_random"
"FR_Adou";1995;2213225.54426019;80;6;"create_sampling_random"
"FR_Arto";1995;5771120806519720;80;6;"create_sampling_random"
"FR_Bret";1995;11289732.3592666;80;6;"create_sampling_random"
"FR_Garo";1995;8587979.71376588;80;6;"create_sampling_random"
"FR_Loir";1995;5626326.11103836;80;6;"create_sampling_random"
"FR_Rhon";1995;86564657.5728262;80;6;"create_sampling_random"
"FR_Sein";1995;8259692.05038761;80;6;"create_sampling_random"
"FR_Adou";1996;2601258.92289191;80;6;"create_sampling_random"
"FR_Arto";1996;6705623802708405;80;6;"create_sampling_random"
"FR_Bret";1996;12501317.9706614;80;6;"create_sampling_random"
"FR_Garo";1996;7652863.73245739;80;6;"create_sampling_random"
"FR_Loir";1996;4729821.57396846;80;6;"create_sampling_random"
"FR_Rhon";1996;82551294.4866976;80;6;"create_sampling_random"
"FR_Sein";1996;6762377.76861949;80;6;"create_sampling_random"
"FR_Adou";1997;3017595.67549985;80;6;"create_sampling_random"
"FR_Arto";1997;7440619458017505;80;6;"create_sampling_random"
"FR_Bret";1997;14550756.6303018;80;6;"create_sampling_random"
"FR_Garo";1997;6901910.24263657;80;6;"create_sampling_random"
"FR_Loir";1997;4220435.40875671;80;6;"create_sampling_random"
"FR_Rhon";1997;78724702.8241119;80;6;"create_sampling_random"
"FR_Sein";1997;5614694.34129686;80;6;"create_sampling_random"
"FR_Adou";1998;3437044.9969162;80;6;"create_sampling_random"
"FR_Arto";1998;7862389397928189;80;6;"create_sampling_random"
"FR_Bret";1998;17237224.6787457;80;6;"create_sampling_random"
"FR_Garo";1998;6324694.06137899;80;6;"create_sampling_random"
"FR_Loir";1998;3991035.33160322;80;6;"create_sampling_random"
"FR_Rhon";1998;75076374.0514945;80;6;"create_sampling_random"
"FR_Sein";1998;4831976.00627555;80;6;"create_sampling_random"
"FR_Adou";1999;3823976.18057153;80;6;"create_sampling_random"
"FR_Arto";1999;8005448789178824;80;6;"create_sampling_random"
"FR_Bret";1999;20023606.8195677;80;6;"create_sampling_random"
"FR_Garo";1999;5908706.57118671;80;6;"create_sampling_random"
"FR_Loir";1999;3975551.9102038;80;6;"create_sampling_random"
"FR_Rhon";1999;71598133.0355406;80;6;"create_sampling_random"
"FR_Sein";1999;4399662.16851584;80;6;"create_sampling_random"
"FR_Adou";2000;4138411.90740386;80;6;"create_sampling_random"
"FR_Arto";2000;8017437804169720;80;6;"create_sampling_random"
"FR_Bret";2000;22030671.7808733;80;6;"create_sampling_random"
"FR_Garo";2000;5639741.14413343;80;6;"create_sampling_random"
"FR_Loir";2000;4131852.78313883;80;6;"create_sampling_random"
"FR_Rhon";2000;68282123.2792194;80;6;"create_sampling_random"
"FR_Sein";2000;4299320.34581962;80;6;"create_sampling_random"
"FR_Adou";2001;4344037.3820442;80;6;"create_sampling_random"
"FR_Arto";2001;8053764780431117;80;6;"create_sampling_random"
"FR_Bret";2001;22382685.8969197;80;6;"create_sampling_random"
"FR_Garo";2001;5502334.43743402;80;6;"create_sampling_random"
"FR_Loir";2001;4428292.12398981;80;6;"create_sampling_random"
"FR_Rhon";2001;65120790.9162909;80;6;"create_sampling_random"
"FR_Sein";2001;4526630.77910166;80;6;"create_sampling_random"
"FR_Adou";2002;4417743.60202365;80;6;"create_sampling_random"
"FR_Arto";2002;8195519467641247;80;6;"create_sampling_random"
"FR_Bret";2002;20768081.4738138;80;6;"create_sampling_random"
"FR_Garo";2002;5479855.57378079;80;6;"create_sampling_random"
"FR_Loir";2002;4833312.21269099;80;6;"create_sampling_random"
"FR_Rhon";2002;62106870.913295;80;6;"create_sampling_random"
"FR_Sein";2002;5092121.82712799;80;6;"create_sampling_random"
"FR_Adou";2003;4357104.3125977;80;6;"create_sampling_random"
"FR_Arto";2003;8429176003575618;80;6;"create_sampling_random"
"FR_Bret";2003;17691238.017633;80;6;"create_sampling_random"
"FR_Garo";2003;5554283.76370656;80;6;"create_sampling_random"
"FR_Loir";2003;5308447.64361651;80;6;"create_sampling_random"
"FR_Rhon";2003;59233381.7579027;80;6;"create_sampling_random"
"FR_Sein";2003;5998232.95188044;80;6;"create_sampling_random"
"FR_Adou";2004;4181421.17818198;80;6;"create_sampling_random"
"FR_Arto";2004;8681794667438346;80;6;"create_sampling_random"
"FR_Bret";2004;14118819.8120527;80;6;"create_sampling_random"
"FR_Garo";2004;5706162.95449381;80;6;"create_sampling_random"
"FR_Loir";2004;5805921.26213383;80;6;"create_sampling_random"
