"emu";"year";"B";"nb";"iter";"f"
"FR_Adou";1990;1.37291563666301e+30;100;84;"create_sampling_random"
"FR_Arto";1990;1900496883811291;100;84;"create_sampling_random"
"FR_Bret";1990;21919418.2236095;100;84;"create_sampling_random"
"FR_Garo";1990;10071877.1455372;100;84;"create_sampling_random"
"FR_Loir";1990;22204953.8642496;100;84;"create_sampling_random"
"FR_Rhon";1990;8135629.41392685;100;84;"create_sampling_random"
"FR_Sein";1990;21496706.7715228;100;84;"create_sampling_random"
"FR_Adou";1991;2.35950053973166e+30;100;84;"create_sampling_random"
"FR_Arto";1991;2595675469159762;100;84;"create_sampling_random"
"FR_Bret";1991;17633032.0238355;100;84;"create_sampling_random"
"FR_Garo";1991;10489580.82268;100;84;"create_sampling_random"
"FR_Loir";1991;16927875.4203212;100;84;"create_sampling_random"
"FR_Rhon";1991;7572837.81451247;100;84;"create_sampling_random"
"FR_Sein";1991;16707271.5079568;100;84;"create_sampling_random"
"FR_Adou";1992;4.11592572412786e+30;100;84;"create_sampling_random"
"FR_Arto";1992;3491747299508744;100;84;"create_sampling_random"
"FR_Bret";1992;14532042.0851121;100;84;"create_sampling_random"
"FR_Garo";1992;10814137.7597946;100;84;"create_sampling_random"
"FR_Loir";1992;12945109.6662942;100;84;"create_sampling_random"
"FR_Rhon";1992;7050269.21508507;100;84;"create_sampling_random"
"FR_Sein";1992;13066640.0231719;100;84;"create_sampling_random"
"FR_Adou";1993;7.39531308654685e+30;100;84;"create_sampling_random"
"FR_Arto";1993;4546148775776448;100;84;"create_sampling_random"
"FR_Bret";1993;12624439.1356375;100;84;"create_sampling_random"
"FR_Garo";1993;10904541.9492778;100;84;"create_sampling_random"
"FR_Loir";1993;9978931.55001906;100;84;"create_sampling_random"
"FR_Rhon";1993;6570720.70826803;100;84;"create_sampling_random"
"FR_Sein";1993;10371222.0140377;100;84;"create_sampling_random"
"FR_Adou";1994;1.37569973170268e+31;100;84;"create_sampling_random"
"FR_Arto";1994;5639613831843766;100;84;"create_sampling_random"
"FR_Bret";1994;11840484.6759646;100;84;"create_sampling_random"
"FR_Garo";1994;10645227.8362976;100;84;"create_sampling_random"
"FR_Loir";1994;7805008.98523157;100;84;"create_sampling_random"
"FR_Rhon";1994;6136941.34248947;100;84;"create_sampling_random"
"FR_Sein";1994;8433016.68153811;100;84;"create_sampling_random"
"FR_Adou";1995;2.61188151239609e+31;100;84;"create_sampling_random"
"FR_Arto";1995;6607467028151032;100;84;"create_sampling_random"
"FR_Bret";1995;12115100.2602833;100;84;"create_sampling_random"
"FR_Garo";1995;10012426.8989419;100;84;"create_sampling_random"
"FR_Loir";1995;6240986.44207423;100;84;"create_sampling_random"
"FR_Rhon";1995;5750650.05954615;100;84;"create_sampling_random"
"FR_Sein";1995;7084798.22721187;100;84;"create_sampling_random"
"FR_Adou";1996;4.87242553677763e+31;100;84;"create_sampling_random"
"FR_Arto";1996;7315073703345749;100;84;"create_sampling_random"
"FR_Bret";1996;13423895.2745447;100;84;"create_sampling_random"
"FR_Garo";1996;9095671.67340228;100;84;"create_sampling_random"
"FR_Loir";1996;5142006.87578718;100;84;"create_sampling_random"
"FR_Rhon";1996;5411999.34571483;100;84;"create_sampling_random"
"FR_Sein";1996;6189211.34623182;100;84;"create_sampling_random"
"FR_Adou";1997;8.44705463529374e+31;100;84;"create_sampling_random"
"FR_Arto";1997;7722019544741439;100;84;"create_sampling_random"
"FR_Bret";1997;15713670.1676095;100;84;"create_sampling_random"
"FR_Garo";1997;8058906.00671971;100;84;"create_sampling_random"
"FR_Loir";1997;4397315.60072969;100;84;"create_sampling_random"
"FR_Rhon";1997;5119410.42189725;100;84;"create_sampling_random"
"FR_Sein";1997;5641625.61279261;100;84;"create_sampling_random"
"FR_Adou";1998;1.2856081265151e+32;100;84;"create_sampling_random"
"FR_Arto";1998;7882037942736471;100;84;"create_sampling_random"
"FR_Bret";1998;18717772.6124464;100;84;"create_sampling_random"
"FR_Garo";1998;7071584.18879922;100;84;"create_sampling_random"
"FR_Loir";1998;3926176.93372764;100;84;"create_sampling_random"
"FR_Rhon";1998;4869739.40589112;100;84;"create_sampling_random"
"FR_Sein";1998;5366902.39089975;100;84;"create_sampling_random"
"FR_Adou";1999;1.65466105719838e+32;100;84;"create_sampling_random"
"FR_Arto";1999;7889353200594851;100;84;"create_sampling_random"
"FR_Bret";1999;21741983.1544414;100;84;"create_sampling_random"
"FR_Garo";1999;6256970.64711124;100;84;"create_sampling_random"
"FR_Loir";1999;3673077.41057592;100;84;"create_sampling_random"
"FR_Rhon";1999;4658683.91134207;100;84;"create_sampling_random"
"FR_Sein";1999;5312804.54382495;100;84;"create_sampling_random"
"FR_Adou";2000;1.79512398917267e+32;100;84;"create_sampling_random"
"FR_Arto";2000;7823900491557285;100;84;"create_sampling_random"
"FR_Bret";2000;23683992.6688198;100;84;"create_sampling_random"
"FR_Garo";2000;5679232.74192518;100;84;"create_sampling_random"
"FR_Loir";2000;3602569.42217223;100;84;"create_sampling_random"
"FR_Rhon";2000;4481280.19791276;100;84;"create_sampling_random"
"FR_Sein";2000;5442191.3953429;100;84;"create_sampling_random"
"FR_Adou";2001;1.69362055233555e+32;100;84;"create_sampling_random"
"FR_Arto";2001;7729600073757222;100;84;"create_sampling_random"
"FR_Bret";2001;23538941.8912891;100;84;"create_sampling_random"
"FR_Garo";2001;5358430.02926196;100;84;"create_sampling_random"
"FR_Loir";2001;3693825.34393559;100;84;"create_sampling_random"
"FR_Rhon";2001;4332346.81637861;100;84;"create_sampling_random"
"FR_Sein";2001;5725121.28701854;100;84;"create_sampling_random"
"FR_Adou";2002;1.46261143913406e+32;100;84;"create_sampling_random"
"FR_Arto";2002;7623491682628568;100;84;"create_sampling_random"
"FR_Bret";2002;21125642.4756671;100;84;"create_sampling_random"
"FR_Garo";2002;5292017.21661073;100;84;"create_sampling_random"
"FR_Loir";2002;3934515.96506377;100;84;"create_sampling_random"
"FR_Rhon";2002;4206813.57480643;100;84;"create_sampling_random"
"FR_Sein";2002;6131545.09940728;100;84;"create_sampling_random"
"FR_Adou";2003;1.21591761147114e+32;100;84;"create_sampling_random"
"FR_Arto";2003;7515970568109528;100;84;"create_sampling_random"
"FR_Bret";2003;17273299.2105977;100;84;"create_sampling_random"
"FR_Garo";2003;5468928.40381225;100;84;"create_sampling_random"
"FR_Loir";2003;4313409.36207242;100;84;"create_sampling_random"
"FR_Rhon";2003;4099973.69145436;100;84;"create_sampling_random"
"FR_Sein";2003;6625468.92579592;100;84;"create_sampling_random"
"FR_Adou";2004;1.00640754550984e+32;100;84;"create_sampling_random"
"FR_Arto";2004;7424462182967388;100;84;"create_sampling_random"
"FR_Bret";2004;13208568.4160174;100;84;"create_sampling_random"
"FR_Garo";2004;5872399.06400383;100;84;"create_sampling_random"
"FR_Loir";2004;4811544.83191116;100;84;"create_sampling_random"
"FR_Rhon";2004;4007731.82015922;100;84;"create_sampling_random"
"FR_Sein";2004;7161879.1106994;100;84;"create_sampling_random"
"FR_Adou";2005;8.40979842319086e+31;100;84;"create_sampling_random"
"FR_Arto";2005;7375180309093014;100;84;"create_sampling_random"
"FR_Bret";2005;9813506.2418989;100;84;"create_sampling_random"
"FR_Garo";2005;6473900.18975669;100;84;"create_sampling_random"
"FR_Loir";2005;5393306.03068074;100;84;"create_sampling_random"
"FR_Rhon";2005;3926862.46978043;100;84;"create_sampling_random"
"FR_Sein";2005;7687737.31142816;100;84;"create_sampling_random"
"FR_Adou";2006;7.11295793713299e+31;100;84;"create_sampling_random"
"FR_Arto";2006;7400581805557969;100;84;"create_sampling_random"
"FR_Bret";2006;7391750.46760102;100;84;"create_sampling_random"
"FR_Garo";2006;7224375.86704393;100;84;"create_sampling_random"
"FR_Loir";2006;6000882.2135656;100;84;"create_sampling_random"
"FR_Rhon";2006;3855194.82817303;100;84;"create_sampling_random"
"FR_Sein";2006;8147471.65494035;100;84;"create_sampling_random"
"FR_Adou";2007;6.10605790235664e+31;100;84;"create_sampling_random"
"FR_Arto";2007;7544352817701597;100;84;"create_sampling_random"
"FR_Bret";2007;5867160.4089811;100;84;"create_sampling_random"
"FR_Garo";2007;8051707.88927148;100;84;"create_sampling_random"
"FR_Loir";2007;6556878.04391766;100;84;"create_sampling_random"
"FR_Rhon";2007;3791595.53511916;100;84;"create_sampling_random"
"FR_Sein";2007;8491694.50241599;100;84;"create_sampling_random"
"FR_Adou";2008;5.36613442158332e+31;100;84;"create_sampling_random"
"FR_Arto";2008;7879740378668368;100;84;"create_sampling_random"
"FR_Bret";2008;5046348.18002647;100;84;"create_sampling_random"
"FR_Garo";2008;8872193.36798537;100;84;"create_sampling_random"
"FR_Loir";2008;6977857.04560814;100;84;"create_sampling_random"
"FR_Rhon";2008;3735687.82237638;100;84;"create_sampling_random"
"FR_Sein";2008;8686219.90849293;100;84;"create_sampling_random"
"FR_Adou";2009;4.88171612345907e+31;100;84;"create_sampling_random"
"FR_Arto";2009;8539164153653081;100;84;"create_sampling_random"
"FR_Bret";2009;4763728.54091299;100;84;"create_sampling_random"
"FR_Garo";2009;9615544.19290889;100;84;"create_sampling_random"
"FR_Loir";2009;7195741.75799894;100;84;"create_sampling_random"
"FR_Rhon";2009;3687391.23563364;100;84;"create_sampling_random"
"FR_Sein";2009;8717980.4469861;100;84;"create_sampling_random"
"FR_Adou";2010;4.62236798281605e+31;100;84;"create_sampling_random"
"FR_Arto";2010;9753188601631668;100;84;"create_sampling_random"
"FR_Bret";2010;4919860.96475981;100;84;"create_sampling_random"
"FR_Garo";2010;10251431.1479031;100;84;"create_sampling_random"
"FR_Loir";2010;7177731.1328349;100;84;"create_sampling_random"
"FR_Rhon";2010;3646485.20283702;100;84;"create_sampling_random"
"FR_Sein";2010;8595663.97928191;100;84;"create_sampling_random"
"FR_Adou";2011;4.53199236140919e+31;100;84;"create_sampling_random"
"FR_Arto";2011;11904977387527416;100;84;"create_sampling_random"
"FR_Bret";2011;5467055.8826687;100;84;"create_sampling_random"
"FR_Garo";2011;10801909.8720421;100;84;"create_sampling_random"
"FR_Loir";2011;6934486.60125769;100;84;"create_sampling_random"
"FR_Rhon";2011;3612392.03314883;100;84;"create_sampling_random"
"FR_Sein";2011;8345158.35461544;100;84;"create_sampling_random"
"FR_Adou";2012;4.54217896833042e+31;100;84;"create_sampling_random"
"FR_Arto";2012;15605219681149410;100;84;"create_sampling_random"
"FR_Bret";2012;6374376.23051999;100;84;"create_sampling_random"
"FR_Garo";2012;11333355.991017;100;84;"create_sampling_random"
"FR_Loir";2012;6512756.42332197;100;84;"create_sampling_random"
"FR_Rhon";2012;3584233.97762924;100;84;"create_sampling_random"
"FR_Sein";2012;8001871.92241206;100;84;"create_sampling_random"
"FR_Adou";2013;4.59980361014745e+31;100;84;"create_sampling_random"
"FR_Arto";2013;21757986650740060;100;84;"create_sampling_random"
"FR_Bret";2013;7588497.26908561;100;84;"create_sampling_random"
"FR_Garo";2013;11934769.2991603;100;84;"create_sampling_random"
"FR_Loir";2013;5977482.90054049;100;84;"create_sampling_random"
"FR_Rhon";2013;3561047.68499388;100;84;"create_sampling_random"
"FR_Sein";2013;7602700.38279212;100;84;"create_sampling_random"
"FR_Adou";2014;4.69421937420959e+31;100;84;"create_sampling_random"
"FR_Arto";2014;31523802619141296;100;84;"create_sampling_random"
"FR_Bret";2014;9010636.96790168;100;84;"create_sampling_random"
"FR_Garo";2014;12694153.5200073;100;84;"create_sampling_random"
"FR_Loir";2014;5392842.44329218;100;84;"create_sampling_random"
"FR_Rhon";2014;3541964.5521046;100;84;"create_sampling_random"
"FR_Sein";2014;7179803.93317595;100;84;"create_sampling_random"
"FR_Adou";2015;4.85965199418125e+31;100;84;"create_sampling_random"
"FR_Arto";2015;46093646274187728;100;84;"create_sampling_random"
"FR_Bret";2015;10512866.9283463;100;84;"create_sampling_random"
"FR_Garo";2015;13679952.3341156;100;84;"create_sampling_random"
"FR_Loir";2015;4809503.7978323;100;84;"create_sampling_random"
"FR_Rhon";2015;3526231.61946099;100;84;"create_sampling_random"
"FR_Sein";2015;6757136.91133075;100;84;"create_sampling_random"
"FR_Adou";2016;5.14605625166953e+31;100;84;"create_sampling_random"
"FR_Arto";2016;66440592298853920;100;84;"create_sampling_random"
"FR_Bret";2016;11994125.1521826;100;84;"create_sampling_random"
"FR_Garo";2016;14928529.1053137;100;84;"create_sampling_random"
"FR_Loir";2016;4260109.85625691;100;84;"create_sampling_random"
"FR_Rhon";2016;3513094.36600925;100;84;"create_sampling_random"
"FR_Sein";2016;6349599.11047401;100;84;"create_sampling_random"
"FR_Adou";2017;5.57851414766599e+31;100;84;"create_sampling_random"
"FR_Arto";2017;93537603254642480;100;84;"create_sampling_random"
"FR_Bret";2017;13436725.0266494;100;84;"create_sampling_random"
"FR_Garo";2017;16438309.3161593;100;84;"create_sampling_random"
"FR_Loir";2017;3760923.02066205;100;84;"create_sampling_random"
"FR_Rhon";2017;3501685.31574349;100;84;"create_sampling_random"
"FR_Sein";2017;5964132.94539998;100;84;"create_sampling_random"
"FR_Adou";2018;6.13246062271033e+31;100;84;"create_sampling_random"
"FR_Arto";2018;129173809436524864;100;84;"create_sampling_random"
"FR_Bret";2018;14913142.4111991;100;84;"create_sampling_random"
"FR_Garo";2018;18176521.6836377;100;84;"create_sampling_random"
"FR_Loir";2018;3316338.16017992;100;84;"create_sampling_random"
"FR_Rhon";2018;3491083.50924498;100;84;"create_sampling_random"
"FR_Sein";2018;5602035.41391692;100;84;"create_sampling_random"
